Crop,FieldName,Lower,Upper,Reference
WT,ResidueMassAirDryPerArea_P2,10,1830,[Google Shared Drive]CafPlantGridPointSurvey\1999-2016\Working\20240927_WrappingUpNewDataset\qcBounds_p3_DavesAdditionsForCalculatingYieldAndResidue.xlsx
WL,CropExists_P1,0,1,
WL,GrainMoisture_P1,0,100,
WL,GrainProtein_P1,0,100,
WL,GrainStarch_P1,0,100,
WL,GrainGluten_P1,0,100,
WL,GrainOil_P1,0,100,
WL,GrainTestWeight_P1,,,
WL,GrainCarbon_P1,0,100,
WL,GrainNitrogen_P1,0,100,
WL,GrainSulfur_P1,0,100,
WL,ResidueCarbon_P1,0,100,
WL,ResidueNitrogen_P1,0,100,
WL,ResidueSulfur_P1,0,100,
WL,GrainYieldWet_P2,,,
WL,GrainYieldAirDry_P2,10,390,[Google Shared Drive]CafPlantGridPointSurvey\1999-2016\Working\20240927_WrappingUpNewDataset\qcBounds_p3_DavesAdditionsForCalculatingYieldAndResidue.xlsx
WL,ResidueMassWetPerArea_P2,,,
WL,ResidueMassAirDryPerArea_P2,10,990,[Google Shared Drive]CafPlantGridPointSurvey\1999-2016\Working\20240927_WrappingUpNewDataset\qcBounds_p3_DavesAdditionsForCalculatingYieldAndResidue.xlsx
AL,CropExists_P1,0,1,
AL,GrainMoisture_P1,0,100,
AL,GrainProtein_P1,0,100,
AL,GrainStarch_P1,0,100,
AL,GrainGluten_P1,0,100,
AL,GrainOil_P1,0,100,
AL,GrainTestWeight_P1,,,
AL,GrainCarbon_P1,0,100,
AL,GrainNitrogen_P1,0,100,
AL,GrainSulfur_P1,0,100,
AL,ResidueCarbon_P1,0,100,
AL,ResidueNitrogen_P1,0,100,
AL,ResidueSulfur_P1,0,100,
AL,GrainYieldWet_P2,,,
AL,GrainYieldAirDry_P2,10,990,[Google Shared Drive]CafPlantGridPointSurvey\1999-2016\Working\20240927_WrappingUpNewDataset\qcBounds_p3_DavesAdditionsForCalculatingYieldAndResidue.xlsx
AL,ResidueMassWetPerArea_P2,,,
AL,ResidueMassAirDryPerArea_P2,0,0,[Google Shared Drive]CafPlantGridPointSurvey\1999-2016\Working\20240927_WrappingUpNewDataset\qcBounds_p3_DavesAdditionsForCalculatingYieldAndResidue.xlsx
Generic,CropExists_P1,0,1,
Generic,GrainMoisture_P1,0,100,
Generic,GrainProtein_P1,0,100,
Generic,GrainStarch_P1,0,100,
Generic,GrainGluten_P1,0,100,
Generic,GrainOil_P1,0,100,
Generic,GrainTestWeight_P1,,,
Generic,GrainCarbon_P1,0,100,
Generic,GrainNitrogen_P1,0,100,
Generic,GrainSulfur_P1,0,100,
Generic,ResidueCarbon_P1,0,100,
Generic,ResidueNitrogen_P1,0,100,
Generic,ResidueSulfur_P1,0,100,
Generic,GrainYieldWet_P2,,,
Generic,GrainYieldAirDry_P2,10,1230,[Google Shared Drive]CafPlantGridPointSurvey\1999-2016\Working\20240927_WrappingUpNewDataset\qcBounds_p3_DavesAdditionsForCalculatingYieldAndResidue.xlsx
Generic,ResidueMassWetPerArea_P2,,,
Generic,ResidueMassAirDryPerArea_P2,10,2290,[Google Shared Drive]CafPlantGridPointSurvey\1999-2016\Working\20240927_WrappingUpNewDataset\qcBounds_p3_DavesAdditionsForCalculatingYieldAndResidue.xlsx
