HarvestYear,Crop,SampleID,Longitude,Latitude,ID2,GrainYieldDryPerArea,GrainCarbon,GrainNitrogen,GrainProtein,GrainMoisture,GrainStarch,GrainWGlutDM,ResidueMassDryPerArea,ResidueCarbon,ResidueNitrogen,Comments
2013,SW,CF13GPSW_70_6-D,-117.08698,46.77956,71,171.42388451443568,,,11.3,9.1,71,30,,,,
2013,SW,CF13GPSW_71_7-D,-117.08656,46.77965,72,240.32152230971127,,,10,6.4,78.7,23.2,,,,
2013,SW,CF13GPSW_72_8-D,-117.08617,46.77964,73,271.48950131233596,,,9.6,6.8,76.7,22.4,,,,
2013,SB,CF13GPSB_73_9-D,-117.08569,46.77951,74,519.1929133858267,,,10.3,6.6,67.9,,,,,
2013,SB,CF13GPSB_74_10-D,-117.0853,46.77964,75,300.6069553805774,,,11.1,6.9,65.4,,,,,
2013,GB,CF13GPGB_79_15-D,-117.08322,46.77952,80,209.1535433070866,46.356,3.5726,,,,,,,,
2013,SW,CF13GPSW_80_16-D,-117.0828,46.77958,81,376.8864829396325,,,9.3,6.5,79,22.4,,,,
2013,SW,CF13GPSW_81_17-D,-117.08238,46.77962,82,368.2742782152231,,,9.4,6.5,78.9,23,,,,
2013,WW,CF13GPWW_83_18-D,-117.08196,46.77942,83,385.08858267716533,,,10.4,9.2,73.7,27.7,,,,
2013,WW,CF13GPWW_84_19-D,-117.08154,46.77956,84,393.29068241469815,,,9.7,9.2,74.8,24.8,,,,
2013,WW,CF13GPWW_85_20-D,-117.08113,46.77956,85,403.1332020997375,,,9.7,9.2,73.6,26,,,,
2013,WW,CF13GPWW_86_21-D,-117.08071,46.77942,86,348.58923884514434,,,8.7,9.2,75.1,21,,,,
2013,WW,CF13GPWW_87_22-D,-117.08029,46.77968,87,259.59645669291336,,,10.6,9.1,74.1,28.7,,,,
2013,WW,CF13GPWW_88_23-D,-117.07987,46.77965,88,448.244750656168,,,10.6,9.2,73.1,28.4,,,,
2013,WW,CF13GPWW_89_24-D,-117.07945,46.77961,89,416.25656167979,,,10.2,9,73.2,26.8,,,,
2013,WW,CF13GPWW_90_25-D,-117.07904,46.77954,90,397.39173228346453,,,10.4,9.3,73.2,28.4,,,,
2013,WW,CF13GPWW_91_26-D,-117.07862,46.77955,91,454.39632545931755,,,10.4,9.3,73.4,28.5,,,,
2013,WW,CF13GPWW_92_27-D,-117.0782,46.77956,92,364.5833333333333,,,10.3,9.5,73.8,28.5,,,,
2013,WW,CF13GPWW_93_28-D,-117.07778,46.77949,93,312.9101049868766,,,11.2,9,72.4,30,,,,
2013,WW,CF13GPWW_94_29-D,-117.07736,46.77966,94,293.6351706036745,,,11.3,9.5,72.2,31.5,,,,
2013,WW,CF13GPWW_95_4-E,-117.08766,46.7797,96,195.62007874015748,,,10.3,9.1,73.2,28.2,,,,
2013,SW,CF13GPSW_96_5-E,-117.08725,46.77987,97,203.82217847769027,,,9.3,6.7,77.6,22.1,,,,
2013,SW,CF13GPSW_97_6-E,-117.08683,46.77985,98,214.48490813648291,,,8.3,7.9,75.7,21.2,,,,
2013,SW,CF13GPSW_98_7-E,-117.08641,46.77993,99,223.09711286089237,,,10.1,9.2,72.5,26.8,,,,
2013,SW,CF13GPSW_99_8-E,-117.08599,46.7799,100,224.3274278215223,,,11.8,6.7,75.1,28.2,,,,
2013,GB,CF13GPGB_100_9-E,-117.08557,46.77981,101,179.21587926509184,46.234,3.4055,,,,,,,,
