"Column","Row2","SampleID","Crop","GrainWeight","Protein","Moisture","Starch","WGlutDM","TestWeight","ID2","Logitude","Latitude","ResidueWeight","Notes","Year","FieldID"
14,"C","CF14GPWW_53_14-C","WW",759,13.7,9.2,62.5,37,40.8,54,-117.08372,46.779309,1491," |  | ",2014,"CookEast"
15,"C","CF14GPWW_54_15-C","WW",1147,10.3,8.4,74.7,27.4,53.7,55,-117.083302,46.77923,1890," |  | ",2014,"CookEast"
16,"C","CF14GPWW_55_16-C","WW",1003,11.9,8.3,70.4,31.4,51.7,56,-117.08290191,46.77931128,2029," |  | ",2014,"CookEast"
17,"C","CF14GPWW_56_17-C","WW",1114,10.3,8.7,74.4,27.1,53.7,57,-117.082466,46.779336,1936," |  | ",2014,"CookEast"
18,"C","CF14GPSWGrn_C1_58_18-C","SW",701,11.1,7,73.4,25.6,57.5,58,-117.082048,46.779138,,"MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ",2014,"CookEast"
19,"C","GPHY14_GB_C2_59_19-C","GB",495,,,,,,59,-117.08160015,46.77925244,861," |  | ",2014,"CookEast"
20,"C","GPHY14_GB_C2_6_20-C","GB",497,,,,,,60,-117.081212,46.779279,974," |  | ",2014,"CookEast"
21,"C","GPHY14_SB_C3_61_21-C","SB",841,9.3,12.2,64.3,,51.6,61,-117.080794,46.779135,," |  | ",2014,"CookEast"
22,"C","GPHY14_SB_C3_62_22-C","SB",1089,11.6,12.6,62.8,,52.7,62,-117.08039988,46.77941847,," |  | ",2014,"CookEast"
23,"C","CF14GPWW_62_23-C","WW",1055,12.7,8.6,69.6,34.9,59.1,63,-117.079958,46.779369,1805," |  | ",2014,"CookEast"
24,"C","CF14GPSWGrn_C5_64_24-C","SW",699,9.2,7.1,74.5,21.4,59.9,64,-117.07954,46.779333,," | STARCH OUTSIDE LIMITS | ",2014,"CookEast"
25,"C","CF14GPSWGrn_C6_65_25-C","SW",1152,8.7,7.2,77.7,20.2,59.6,65,-117.079122,46.779254,,"MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ",2014,"CookEast"
26,"C","CF14GPSWGrn_C6_66_26-C","SW",799,12.4,6.7,67.7,26.9,56.1,66,-117.07873385,46.77928646,,"MOISTURE OUTSIDE LIMITS |  | ORIGINAL SAMPLE BAG RIPPED",2014,"CookEast"
27,"C","CF14GPSWGrn_C7_67_27-C","SW",768,12.6,6.9,67.2,28.4,55.1,67,-117.078286,46.779271,,"MOISTURE OUTSIDE LIMITS |  | ",2014,"CookEast"
3,"D","GPHY14_GB_A1_68_3-D","GB",344,,,,,,68,-117.088231,46.779439,743," |  | ",2014,"CookEast"
4,"D","GPHY14_GB_A2_69_4-D","GB",302,,,,,,69,-117.087813,46.779414,735," |  | ",2014,"CookEast"
5,"D","GPHY14_GB_A2_70_5-D","GB",230,,,,,,70,-117.087395,46.779587,," |  | ",2014,"CookEast"
6,"D","GPHY14_GB_A3_71_6-D","GB",223,,,,,,71,-117.086977,46.779564,577," |  | ",2014,"CookEast"
7,"D","GPHY14_GB_A4_72_7-D","GB",429,,,,,,72,-117.086559,46.779649,1093," |  | ",2014,"CookEast"
8,"D","GPHY14_GB_A4_73_8-D","GB",346,,,,,,73,-117.08617246,46.77963697,1045,"MOUSE DAMAGE TO ORIGINAL BAG |  | ",2014,"CookEast"
9,"D","CF14GPSWGrn_A6_74_9-D","SW",1205,9.1,7.4,74.6,21.5,61.5,74,-117.08569155,46.77950963,," | STARCH OUTSIDE LIMITS | ",2014,"CookEast"
10,"D","CF14GPSWGrn_A6_75_10-D","SW",991,8.7,8,76.3,20.8,60.1,75,-117.085305,46.779642,," | STARCH OUTSIDE LIMITS | ",2014,"CookEast"
11,"D","CF14GPWW_75_11-D","WW",1332,10.1,9,72.6,26.4,47.1,76,-117.084887,46.77949,3424," |  | ",2014,"CookEast"
