Source,CreationDate,Author,LastSaved,LastSavedBy,BarcodeFinal,LabelPrefix,Crop,FieldStrip,ID2.x,Col.Row2,Column,Row2,ShoudKeep,isResidue,TotalGrain.g..bag,TareBag.g.,TotalGrain.g.,Tota.Biomass.g..bag,TareBag.g..1,TotalBiomass.g.,protein,moisture,starch,gluten,testWeight,tareWtSampleBag.g.,NOTES,Notes2,Notes3,X,Y,ID2
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_25_9-B,CF14GPWW,WW,"",25,9-B,9,B,1,"",1128,20,1108,,,,9.3,9.5,67.6,24.3,43,,Starch outside limits,"","",-117.085556,46.778952,26
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_26_10-B,CF14GPWW,WW,"",26,10-B,10,B,1,"",1228,20,1208,,,,9.8,8.9,70.1,25.7,41.5,,"","","",-117.08511704,46.77906282,27
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_27_11-B,CF14GPWW,WW,"",27,11-B,11,B,1,"",1462,19,1443,,,,10.8,9,72.3,29.1,53.2,,"","","",-117.08472,46.778918,28
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_28_12-B,CF14GPWW,WW,"",28,12-B,12,B,1,"",929,20,909,,,,9.7,8.3,74,24.8,50.1,,Starch outside limits,"","",-117.084302,46.779007,29
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_29_13-B,CF14GPWW,WW,"",29,13-B,13,B,1,"",1092,19,1073,,,,10.8,7.9,73.9,28.8,54.1,,"","","",-117.083884,46.77896,30
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_30_14-B,CF14GPWW,WW,"",30,14-B,14,B,1,"",1050,19,1031,,,,10.3,8.1,73.4,27.4,51.4,,"","","",-117.083466,46.779023,31
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_31_15-B,CF14GPWW,WW,"",31,15-B,15,B,1,"",1359,20,1339,,,,10.2,8.1,72.2,26.1,45.8,,"","","",-117.083048,46.778944,32
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_32_16-B,CF14GPWW,WW,"",32,16-B,16,B,1,"",842,20,822,,,,12.1,8.2,65.2,31.5,40,,"","","",-117.08263,46.779013,33
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C1_34_17-B,CF14GPSWGrn,SW,C1,34,17-B,17,B,1,"",723,20,703,,,,11,6.5,72.5,24.4,55.7,,MOISTURE OUTSIDE LIMITS,"","",-117.082212,46.77905,34
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_C2_35_18-B,GPHY14,GB,C2,35,18-B,18,B,1,"",361,20,341,,,,,,,,,,"","","",-117.081794,46.778852,35
